Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,analysis_set
GO_Biological_Process_2023,Amine Transport (GO:0015837),1/7,0.0156462838746998,0.0600081005076724,0,0,75.56439393939394,314.1606183022885,AQP9,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Microvillus Organization (GO:0032530),1/7,0.0156462838746998,0.0600081005076724,0,0,75.56439393939394,314.1606183022885,FSCN1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Myeloid Leukocyte Differentiation (GO:0002761),1/7,0.0156462838746998,0.0600081005076724,0,0,75.56439393939394,314.1606183022885,IRF7,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta Activation (GO:1901388),1/7,0.0156462838746998,0.0600081005076724,0,0,75.56439393939394,314.1606183022885,ITGB8,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of T-helper 2 Cell Cytokine Production (GO:2000553),1/7,0.0156462838746998,0.0600081005076724,0,0,75.56439393939394,314.1606183022885,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Myeloid Leukocyte Mediated Immunity (GO:0002444),1/7,0.0156462838746998,0.0600081005076724,0,0,75.56439393939394,314.1606183022885,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Calcium Ion Import (GO:0090280),1/7,0.0156462838746998,0.0600081005076724,0,0,75.56439393939394,314.1606183022885,CCL3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Alpha-Beta T Cell Proliferation (GO:0046640),1/7,0.0156462838746998,0.0600081005076724,0,0,75.56439393939394,314.1606183022885,EBI3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation Of Angiogenesis (GO:0016525),2/86,0.0160506176078205,0.0611988460836198,0,0,11.002768549280177,45.46352711662799,CXCL10;STAT1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Glucose Homeostasis (GO:0042593),2/87,0.0164050183956118,0.0618270057453116,0,0,10.872777017783855,44.68894007425381,IL6;FFAR2,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Type II Interferon Production (GO:0032649),2/87,0.0164050183956118,0.0618270057453116,0,0,10.872777017783855,44.68894007425381,EBI3;TLR7,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Programmed Cell Death (GO:0043068),3/245,0.0176530677024522,0.0630916605427852,0,0,5.818476977567887,23.488293786070205,IL6;MNDA;IFIT2,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),3/246,0.0178433464386799,0.0630916605427852,0,0,5.794238683127572,23.328326835387585,CD40;IL6;EIF2AK2,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Glial Cell Proliferation (GO:0060251),1/8,0.0178618448998742,0.0630916605427852,0,0,64.76623376623377,260.6898169568008,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Glycerol Transmembrane Transport (GO:0015793),1/8,0.0178618448998742,0.0630916605427852,0,0,64.76623376623377,260.6898169568008,AQP9,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Helicase Activity (GO:0051095),1/8,0.0178618448998742,0.0630916605427852,0,0,64.76623376623377,260.6898169568008,IFIT1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,T-helper 17 Cell Differentiation (GO:0072539),1/8,0.0178618448998742,0.0630916605427852,0,0,64.76623376623377,260.6898169568008,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase C Signaling (GO:0090037),1/8,0.0178618448998742,0.0630916605427852,0,0,64.76623376623377,260.6898169568008,CD40,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Morphogenesis Of An Epithelium (GO:1905330),1/8,0.0178618448998742,0.0630916605427852,0,0,64.76623376623377,260.6898169568008,CXCL10,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Kynurenine Metabolic Process (GO:0070189),1/8,0.0178618448998742,0.0630916605427852,0,0,64.76623376623377,260.6898169568008,IDO1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Podosome Assembly (GO:0071801),1/8,0.0178618448998742,0.0630916605427852,0,0,64.76623376623377,260.6898169568008,FSCN1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Cell Surface Pattern Recognition Receptor Signaling Pathway (GO:0002752),1/8,0.0178618448998742,0.0630916605427852,0,0,64.76623376623377,260.6898169568008,FFAR2,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),6/938,0.0179017748472626,0.0630916605427852,0,0,3.140145262462859,12.632350381063164,CXCL10;CD40;IL6;IFI16;STAT1;IRF7,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry (GO:0060287),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,DNAAF1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034115),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,IL1RN,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation Of Lipid Localization (GO:1905953),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,I-kappaB Phosphorylation (GO:0007252),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,TLR7,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Mesenchymal Cell Proliferation (GO:0002053),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,STAT1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Type II Interferon-Mediated Signaling Pathway (GO:0060333),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,STAT1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Granulocyte Migration (GO:0097530),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,CCL3,GO_Biological_Process_2023,lps_receiver
