seed,n_train,n_val,train_mean_pearson,val_mean_pearson,global_pearson,best_val_loss_z
0,105,27,0.35969373065773425,0.4206571682891863,0.38661850087745536,0.9988515377044678
1,105,27,0.44130709759950454,0.250572945470273,0.41840888789083475,1.1680338382720947
2,105,27,0.47372862260126425,0.27250820201740195,0.45484781802808916,0.9651045203208923
3,105,27,0.6256340428979922,0.42882293797862564,0.6180985124887982,1.318310260772705
4,105,27,0.3611414313045708,0.34149049282179256,0.3682764581393953,1.2400035858154297
5,105,27,0.3474094274503413,0.40792229385480777,0.371826036280648,1.4542224407196045
6,105,27,0.4787316938246155,0.4154591270100573,0.4964811336893721,1.247666358947754
7,105,27,0.5155704809373445,0.29938460078870355,0.49225359844584105,1.289232611656189
8,105,27,0.4053052287347314,0.2882087095307644,0.39541254629929357,1.0655696392059326
9,105,27,0.5250790549282223,0.4383180255309977,0.546971336153801,1.3996613025665283
10,105,27,0.482219801336829,0.43090880914839724,0.5039595294495376,1.32895827293396
11,105,27,0.3474250512497517,0.4199307970837773,0.37168540101336006,1.3386712074279785
